time,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataAdminBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:activeLogSize,Cleaning:availableLogSize,Cleaning:maxUtilization,Cleaning:minUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nClusterLNsProcessed,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsExpired,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nMarkLNsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRepeatIteratorReads,Cleaning:nRevisalRuns,Cleaning:nToBeCleanedLNsProcessed,Cleaning:nTwoPassRuns,Cleaning:pendingLNQueueSize,Cleaning:protectedLogSize,Cleaning:protectedLogSizeMap,Cleaning:reservedLogSize,Cleaning:totalLogSize,Environment:btreeRelatchesRequired,Environment:environmentCreationTime,Environment:nBinDeltaDelete,Environment:nBinDeltaGet,Environment:nBinDeltaInsert,Environment:nBinDeltaUpdate,I/O:bufferBytes,I/O:endOfLog,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncMaxTime,I/O:nFSyncRequests,I/O:nFSyncTime,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGroupCommitWaits,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nLogIntervalExceeded,I/O:nLogMaxGroupCommitThreshold,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:PS MarkSweep.count,Jvm:PS MarkSweep.time,Jvm:PS Scavenge.count,Jvm:PS Scavenge.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:priDelete,Op:priDeleteFail,Op:priInsert,Op:priInsertFail,Op:priPosition,Op:priSearch,Op:priSearchFail,Op:priUpdate,Op:secDelete,Op:secInsert,Op:secPosition,Op:secSearch,Op:secSearchFail,Op:secUpdate
2018-03-30 00:43:26.179 UTC, ,125,3159725,952,13872, , ,3, ,6, , , , , , , , , ,3,3, , , , ,1,5, , , , , , , , , , , , , , , , ,1218,1,573,573,1, ,2,4,1266,92775890944,-1,-1, , , , , ,1,12, , , , , , , , , , , , , , , , , , , , , , , , , ,1266, ,1522370605692, , , , ,3145728,1218, , , ,43,4,107,4,3,4, , ,3,5, , , , , , , ,38,1, , ,12288,3,1228,4, , , , , , , , ,40726872,-1, , , , , , ,7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2018-03-30 00:43:26.374 UTC, ,589,3183525,1648,37208, , ,6, ,40, , , , , , , , , ,6,6, , , , ,2,7, ,2, , , , , , , , , , , , , , ,1218,1,573,573, , , , ,1266,92775882752,55,55, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1266, ,1522370605692, , , , ,3145728,18432, , , ,0, , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , ,51464792,-1, , , , , , ,33, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,11, , ,2,11,1, ,10, ,1, , 
2018-03-30 01:05:42.314 UTC, ,125,3163389,1648,17536, , ,3, ,34,3,0.09, , , , , , , ,3,3, ,2, ,2,1,4, ,30,12, , , , , , , , , , , , , ,20207,2, ,18523, , , , ,20252,92765691904,52,52, , , , , ,3,74, , , , , , , , , , , , , , , , , , , , , , , , , ,20252, ,1522371941939, , , , ,3145728,20207, , ,20,0, , , ,2, , , ,3, , , , ,20, ,2048,1, , , , ,133784,35, , , , , , , , , , ,46095944,-1, , , , , , ,24, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2018-03-30 01:09:03.273 UTC, ,125,3163389,1648,17536, , ,3, ,34,3,0.09, , , , , , , ,3,3, ,2, ,2,1,4, ,30,12, , , , , , , , , , , , , ,20207,2, ,18523, , , , ,20252,92765024256,52,52, , , , , ,3,74, , , , , , , , , , , , , , , , , , , , , , , , , ,20252, ,1522372142896, , , , ,3145728,20207, , ,20,0, , , ,2, , , ,3, , , , ,20, ,2048,1, , , , ,133784,35, , , , , , , , , , ,46131168,-1, , , , , , ,24, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2018-03-30 01:09:29.749 UTC, ,125,3163389,1648,17536, , ,3, ,34,3,0.09, , , , , , , ,3,3, ,2, ,2,1,4, ,30,12, , , , , , , , , , , , , ,20207,2, ,18523, , , , ,20252,92765007872,52,52, , , , , ,3,74, , , , , , , , , , , , , , , , , , , , , , , , , ,20252, ,1522372169350, , , , ,3145728,20207, , ,20,0, , , ,2, , , ,3, , , , ,20, ,2048,1, , , , ,133784,35, , , , , , , , , , ,46095952,-1, , , , , , ,24, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2018-03-30 01:09:29.924 UTC, ,125,3178493,1648,32640, , ,5, ,11,2,0.18, , , , , , , ,5,5, , , ,3,2,6, ,9,4, , , , , , , , , , , , , ,20207,2, ,18523, , , , ,20252,92765007872,52,52, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,20252, ,1522372169350, , , , ,3145728,20207, , ,8,0, , , ,1, , , ,3, , , , ,8,1, , , , , , ,18971,9, , , , , , , , , , ,54149512,-1, , , , , , ,23, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,10,1, , , , , , , , 
2018-03-30 01:10:18.591 UTC, ,125,3163389,1648,17536, , ,3, ,34,3,0.09, , , , , , , ,3,3, ,2, ,2,1,4, ,30,12, , , , , , , , , , , , , ,20207,2, ,18523, , , , ,20252,92764831744,52,52, , , , , ,3,74, , , , , , , , , , , , , , , , , , , , , , , , , ,20252, ,1522372218163, , , , ,3145728,20207, , ,20,0, , , ,2, , , ,3, , , , ,20, ,2048,1, , , , ,133784,35, , , , , , , , , , ,46095656,-1, , , , , , ,24, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2018-03-30 01:10:18.765 UTC, ,125,3178493,1648,32640, , ,5, ,11,2,0.18, , , , , , , ,5,5, , , ,3,2,6, ,9,4, , , , , , , , , , , , , ,20207,2, ,18523, , , , ,20252,92764831744,52,52, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,20252, ,1522372218163, , , , ,3145728,20207, , ,8,0, , , ,1, , , ,3, , , , ,8,1, , , , , , ,18971,9, , , , , , , , , , ,54149064,-1, , , , , , ,15, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,1, , , , , , , , 
2018-03-30 01:11:46.342 UTC, ,125,3163389,1648,17536, , ,3, ,34,3,0.09, , , , , , , ,3,3, ,2, ,2,1,4, ,30,12, , , , , , , , , , , , , ,20207,2, ,18523, , , , ,20252,92764270592,52,52, , , , , ,3,74, , , , , , , , , , , , , , , , , , , , , , , , , ,20252, ,1522372305933, , , , ,3145728,20207, , ,20,0, , , ,2, , , ,3, , , , ,20, ,2048,1, , , , ,133784,35, , , , , , , , , , ,46095912,-1, , , , , , ,24, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2018-03-30 01:11:46.512 UTC, ,125,3181765,1648,35912, , ,6, ,13,3,0.23, , , , , , , ,6,6, , , ,3,3,7, ,9,4, , , , , , , , , , , , , ,20207,2, ,18523, , , , ,20252,92764266496,52,52, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,20252, ,1522372305933, , , , ,3145728,20207, , ,10,0, , , ,1, , , ,3, , , , ,10,1, , , , , , ,23067,11, , , , , , , , , , ,54149360,-1, , , , , , ,17, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,1, , , , ,2, , , 
